inputaddr,lng,lat,x,y,b,z,hc,lc,rc,bn
"서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소",127.06363865662988,37.53519138152727,961448,1948520,,"05084","1121584700","1121510500","112154112239","1121510500100550012015541"
"서울특별시 광진구 광나루로 43길 26 구의파출소",127.09166205451352,37.545891534470954,963929,1949696,,"04978","1121586000","1121510300","112154112033","1121510300101260005007978"
"서울특별시 은평구  은평로 171",126.9264449074806,37.60163773687774,949372,1955957,,"03460","1138058000","1138010700","113803111007","1138010700100840008045664"
"서울특별시 은평구  은평터널로5길 6호",126.9053720076991,37.59186207287898,947505,1954884,,"03446","1138063200","1138010900","113804133219","1138010900101840056013787"
"서울특별시 은평구  진흥로 진흥로200",,,,,,,,,,
"서울특별시 은평구  응암로 208 ",126.9175365351036,37.59052565263434,948578,1954729,,"03467","1138059000","1138010700","113803005055","1138010700105760043020587"
"서울특별시 은평구  연서로 61",126.91507040427467,37.604592381697195,948370,1956291,,"03417","1138062500","1138010800","113803111006","1138010800100620026015725"
"서울특별시 강북구 도봉로 127",127.02826397232059,37.6201515302502,958370,1957961,,"01177","1130555500","1130510100","113053005039","1130510100103270001021712"
"서울특별시 강북구 오현로 4",127.03039579853807,37.61631130838088,958556,1957534,,"01215","1130554500","1130510100","113053108004","1130510100108600146027315"
"서울특별시 강북구  삼양로 305",127.01757830426781,37.63067202384821,957433,1959133,,"01102","1130561500","1130510300","113053005041","1130510300106050409014119"
"서울특별시 강북구 삼각산로 115",127.01709266948924,37.640918246464715,957396,1960270,,"01041","1130562500","1130510300","113053108001","1130510300106050512010008"
"서울특별시 강북구  한천로150길 76",127.0265808068895,37.64433671534329,958235,1960645,,"01052","1130563500","1130510300","113054124579","1130510300101660075007755"
"서울특별시 강북구 인수봉로 227",127.01239843094203,37.639438772913344,956981,1960108,,"01022","1130566000","1130510300","113053108005","1130510300104100342000001"
"서울특별시 강북구  한천로 969",127.03258418113323,37.63597821463884,958760,1959715,,"01067","1130559500","1130510200","113053005038","1130510200104100023016362"
"서울특별시 강북구  월계로 227",127.0481298479032,37.62362733171389,960125,1958338,,"01230","1130560800","1130510200","113053107018","1130510200102420006014699"
"서울특별시 강북구  삼양로 239-1",127.01818265180792,37.62483381707827,957483,1958485,,"01181","1130553400","1130510100","113053005041","1130510100108670128033111"
"서울특별시 금천구 시흥대로57길 45",126.89981522032784,37.45422480340452,946917,1939617,,"08632","1154567000","1154510300","115454151320","1154510300109950002004494"
"서울특별시 금천구  독산로 76길 20",126.90345860413417,37.469539324119246,947250,1941314,,"08557","1154564000","1154510200","115454151153","1154510200101910002008313"
"서울특별시 금천구  탑골로2길 37 백산지구대",126.91259374737152,37.45104410864422,948045,1939257,,"08657","1154571000","1154510300","115454151372","1154510300102440038000258"
"서울특별시 금천구  벚꽃로56길 174",126.88805052322259,37.47993430059245,945895,1942476,,"08512","1154551000","1154510100","115454151236","1154510100101390002014235"
"서울특별시 금천구  벚꽃로10길 89",126.89475640794436,37.46464576177049,946477,1940776,,"08602","1154561000","1154510200","115454151217","1154510200110060096012979"
"서울특별시 중랑구  망우로 391",127.09552933670038,37.59903039987133,964296,1955590,,"02086","1126065500","1126010500","112603005032","1126010500104890007004125"
"서울특별시 중랑구  중랑천로 146",127.07221017779005,37.59798374128855,962237,1955483,,"02113","1126061000","1126010300","112603106011","1126010300103260114012183"
"서울특별시 중랑구 동일로 566",127.07994120129815,37.580940002982615,962911,1953589,,"02236","1126055000","1126010100","112603000001","1126010100101680002023679"
"서울특별시 중랑구  신내로 177",127.09553465828213,37.6147859203133,964304,1957338,,"02024","1126069000","1126010600","112603106007","1126010600106440003000271"
"서울특별시 중랑구  상봉로 27",127.0938776135949,37.58819955636434,964145,1954389,,"02202","1126056500","1126010100","112603106004","1126010100100710024022061"
"서울특별시 중랑구  사가정로41길 45 (면목3.8파출소)",127.08415305060002,37.583208285748654,963284,1953839,,"02222","1126057500","1126010100","112604118360","1126010100115080003025727"
"서울특별시 중랑구  중랑천로 69 상봉파출소",127.07284863676409,37.591325108859394,962290,1954744,,"02118","1126052000","1126010100","112603106011","1126010100101980001000001"
"서울특별시 중랑구 숙선옹주로7길 1",127.08153079508611,37.61461090340033,963068,1957324,,"02031","1126062000","1126010400","112604118425","1126010400101200000000001"
"서울특별시 강남구 언주로108길 20",127.04101874589146,37.50831733781711,959435,1945548,,"06144","1168064000","1168010100","116804166563","1168010100106870010000001"
"서울특별시 강남구 학동로 169",127.02931848735788,37.51386872205968,958404,1946169,,"06046","1168052100","1168010800","116803122011","1168010800100580013006850"
"서울특별시 강남구 학동로 227",127.0338476986754,37.51520266459298,958805,1946315,,"06053","1168053100","1168010800","116803122011","1168010800100890013006540"
"서울특별시 강남구 영동대로112길 4",127.06054313650999,37.5149084078381,961164,1946271,,"06083","1168058000","1168010500","116804166677","1168010500101070003015453"
"서울특별시 강남구 선릉로 624",127.04346096187818,37.5123198165048,959653,1945991,,"06097","1168059000","1168010500","116803122006","1168010500100350001017082"
